作品,作者,视频链接,可用性,备注
Tape袭击塔V2,anew_tape,https://www.bilibili.com/video/BV1N94y1z7Pc,3. 允许玩家操作因为网络延迟存在一定的不精确性,加上盔甲架补充和横扫检测防信号反转就完美了
次世代袭击农场Gen3,CCS_Covenant,https://www.bilibili.com/video/BV1xB4y117sf,3. 允许玩家操作因为网络延迟存在一定的不精确性,加上盔甲架补充就完美了
1.18+袭击农场231k绿宝石/h,DaveRooney,https://www.bilibili.com/video/BV1h84y1Q7zX,1. 依赖假人在实体更新阶段的攻击,
弱加载抢夺堆叠袭击农场,GaRLic BrEd,https://www.bilibili.com/video/BV1Bu41127N7,不好确定,应该会受到真人与假人触发袭击时间不同这个问题的影响
Chronos袭击塔v3,GaRLic BrEd,https://www.bilibili.com/video/BV1pF411P7nP,1. 依赖假人在实体更新阶段的攻击,
终极堆叠袭击农场,GaRLic BrEd,https://www.bilibili.com/video/BV1zX4y117zk,不好确定,应该会受到真人与假人触发袭击时间不同这个问题的影响，活塞移动玩家在方块实体阶段，晚于实体更新阶段
“原汁原味的村庄袭击”632k10gt堆叠袭击塔,MU_mushroom,https://www.bilibili.com/video/BV18C4y1r7Sx,无存档，目测属于“1. 依赖假人在实体更新阶段的攻击”,
丐版袭击塔,"Nash, ianxofour",https://www.bilibili.com/video/BV1Su411b7Nz,2. 需要稳定的玩家行为,假人挂机的袭击生成速率大约比真人多500次/小时，原因为假人在实体更新阶段攻击绕过了袭击招募
20gt 446K堆叠袭击农场,Nash/NashCasty,https://www.bilibili.com/video/BV1fN411W7Cj,1. 依赖假人在实体更新阶段的攻击,
NuggTech袭击塔,Nash/NashCasty,https://www.bilibili.com/video/BV1oX4y1x7yX,1. 依赖假人在实体更新阶段的攻击,
NuggTech袭击塔v2,Nash/NashCasty,https://www.bilibili.com/video/BV1394y187zK,37村民版本：1. 依赖假人在实体更新阶段的攻击 <br>17村民版本：1. 机器时序依赖假人的袭击触发时序,设计者可能没有意识到静态袭击生成能够解决真玩家挂机问题
通用袭击塔,Nash/NashCasty,https://www.youtube.com/watch?v=yKnLcEiLci0,2. 需要稳定的玩家行为,假人挂机的袭击生成速率大约比真人多150次/小时，原因为假人在实体更新阶段攻击绕过了袭击招募
460K袭击塔,qwert_JANG,https://www.bilibili.com/video/BV1tj411B7bi,1. 依赖假人在实体更新阶段的攻击,不是，哥们，怎么你的怪物归中还会卡怪啊？
高速袭击塔，空岛可用【41.3万/小时】,Scorpio天蝎君,https://www.bilibili.com/video/BV1Ja411G7Ag,1. 依赖假人在实体更新阶段的攻击,
410k烟花袭击农场,Youmiel,https://www.bilibili.com/video/BV1Hb4y1M7aQ,3. 允许玩家操作因为网络延迟存在一定的不精确性,
220k安心挂机袭击农场,Youmiel,https://www.bilibili.com/video/BV1sN4y1s7DW,3. 允许玩家操作因为网络延迟存在一定的不精确性,
835k绿宝石农场,何为氕氘氚,https://www.bilibili.com/video/BV1cR4y1H7No,1. 依赖假人在实体更新阶段的攻击,
960k~967k绿宝石农场 ,何为氕氘氚,https://www.bilibili.com/video/BV1ha411J7b8,1. 依赖假人在实体更新阶段的攻击,
堆叠袭击农场V6,何为氕氘氚,https://www.bilibili.com/video/BV1TY4y1M7zt,1. 依赖假人在实体更新阶段的攻击,
